iter	MultiClass
0	1.084829301
1	1.071539267
2	1.059446497
3	1.049410571
4	1.04034902
5	1.03192568
6	1.023746763
7	1.015696598
8	1.008722188
9	1.002927403
10	0.9976065854
11	0.992398515
12	0.9875163928
13	0.982893569
14	0.9785811696
15	0.9742570494
16	0.9703969046
17	0.9667520686
18	0.9634637323
19	0.9606751944
20	0.9581824169
21	0.9555640343
22	0.9528177714
23	0.9504018195
24	0.9483089171
25	0.946111854
26	0.9439825556
27	0.9421682747
28	0.9406927481
29	0.9388332503
30	0.9369805301
31	0.9352282305
32	0.933842744
33	0.9323407134
34	0.9309188829
35	0.92959585
36	0.9283930047
37	0.9269546635
38	0.9257952164
39	0.9245137899
40	0.9235066557
41	0.9221408431
42	0.9213273961
43	0.9202453431
44	0.9195583153
45	0.9187270848
46	0.9178844674
47	0.9168520821
48	0.9159713294
49	0.9147982041
50	0.9136376937
51	0.9131394413
52	0.9121315778
53	0.9116330239
54	0.9107585951
55	0.910158751
56	0.9096002239
57	0.9089236847
58	0.9084574419
59	0.9077537574
60	0.9072183642
61	0.9067160628
62	0.9059726602
63	0.9053919348
64	0.9048177666
65	0.9044694288
66	0.9042234086
67	0.9038346748
68	0.9031147505
69	0.9025696607
70	0.9021708147
71	0.9014704446
72	0.9010258915
73	0.9002916102
74	0.8995498122
75	0.899060794
76	0.8983913872
77	0.8976912775
78	0.8970243959
79	0.8964940167
80	0.896029199
81	0.8955290266
82	0.8950036605
83	0.8944831118
84	0.8940536588
85	0.8937237228
86	0.8934061043
87	0.8930481314
88	0.8924752481
89	0.8920532414
90	0.8916223327
91	0.8913611508
92	0.8911056846
93	0.8908034464
94	0.8905520732
95	0.8900675698
96	0.8897707312
97	0.8895499376
98	0.8892960088
99	0.8890779728
100	0.8886605243
101	0.8885100779
102	0.8880737638
103	0.8877999922
104	0.887431152
105	0.8871045921
106	0.8865561812
107	0.8861447097
108	0.885957371
109	0.8856414086
110	0.8851822916
111	0.8850574542
112	0.88482798
113	0.8845280574
114	0.8843153082
115	0.8839949248
116	0.8836926072
117	0.8833606823
118	0.8829691378
119	0.8825237345
120	0.8821262251
121	0.8818009538
122	0.8816723561
123	0.8813033253
124	0.8810914999
125	0.8807751664
126	0.8804586409
127	0.8802721293
128	0.8798725902
129	0.8795411935
130	0.8793122135
131	0.878709602
132	0.878584058
133	0.8784405708
134	0.8781482713
135	0.8779306382
136	0.8777615813
137	0.8773707565
138	0.8772213881
139	0.8771935108
140	0.8770243102
141	0.8766224615
142	0.8762181612
143	0.8759359659
144	0.87568897
145	0.8753986583
146	0.8751791751
147	0.8748392599
148	0.8746913868
149	0.8744718582
150	0.8743392629
151	0.8741604074
152	0.8738799859
153	0.8737528198
154	0.8734714087
155	0.8732622115
156	0.8730550573
157	0.8729388556
158	0.8725866994
159	0.8724000694
160	0.8722900628
161	0.8721097595
162	0.8718415786
163	0.8715490071
164	0.8712780219
165	0.871133802
166	0.8707402877
167	0.8704699646
168	0.8701703069
169	0.8699974539
170	0.8696902986
171	0.8694538974
172	0.8692384755
173	0.8689897631
174	0.8686942899
175	0.8684921596
176	0.868321993
177	0.86801444
178	0.8678022532
179	0.8674985207
180	0.8670688489
181	0.866715802
182	0.866418154
183	0.8661508516
184	0.8659202028
185	0.8657117273
186	0.8655307396
187	0.8654036343
188	0.8651763859
189	0.8650678198
190	0.8646242816
191	0.8644692066
192	0.8642802573
193	0.8639811526
194	0.8637338225
195	0.8635957889
196	0.8632814954
197	0.8630360193
198	0.8627694482
199	0.8625664582
200	0.8622801525
201	0.8620959551
202	0.8618154005
203	0.8616350856
204	0.8614542702
205	0.8611437909
206	0.8609703621
207	0.8606733799
208	0.8605652754
209	0.8602930255
210	0.8597919915
211	0.859592139
212	0.8593500772
213	0.8591460031
214	0.8587761314
215	0.8584872844
216	0.8580260652
217	0.857872821
218	0.857570809
219	0.8573675554
220	0.8570192026
221	0.8567303425
222	0.8566292787
223	0.8561872543
224	0.8559573088
225	0.8556117421
226	0.8554722292
227	0.8550696562
228	0.8548439672
229	0.8544611804
230	0.854142978
231	0.8539557209
232	0.8536074316
233	0.8533266307
234	0.8530629002
235	0.8528595406
236	0.8526734771
237	0.852357551
238	0.8521017493
239	0.8518166706
240	0.8514608392
241	0.8513077176
242	0.8510325095
243	0.8506369982
244	0.8502357904
245	0.850127475
246	0.8498294536
247	0.8496949439
248	0.849357646
249	0.8491028316
250	0.8487970825
251	0.8485798697
252	0.8481691223
253	0.8479747386
254	0.8476753614
255	0.8475509818
256	0.8473372146
257	0.8471151117
258	0.846923242
259	0.8467848829
260	0.8465852655
261	0.8463650523
262	0.8460958659
263	0.8457930146
264	0.8456660429
265	0.8455516043
266	0.84536471
267	0.8451135983
268	0.8448914762
269	0.8445413629
270	0.8444598538
271	0.8442688053
272	0.8440016392
273	0.8438935153
274	0.8436289568
275	0.8431659839
276	0.8427841157
277	0.8426945684
278	0.8424504369
279	0.8421845577
280	0.8418969421
281	0.8416186401
282	0.8414116715
283	0.8411149775
284	0.8409259548
285	0.8406860634
286	0.8404447158
287	0.8402522007
288	0.8400062996
289	0.8397257145
290	0.8394700795
291	0.8393045124
292	0.8390919095
293	0.8388334087
294	0.8386799116
295	0.8382200129
296	0.8379576124
297	0.8377698787
298	0.8375697423
299	0.8372914614
